topic,post,context
312310,1648,"包选 S9，S10 倒吸了最重要的充电速度，本来充电就勤，又慢更难忍,百亿补贴 S9 现在在2.4k上下，可以等等下周，说不定还有补贴,拼多多挑黑色品牌标记&正品标记就没问题，上半年就在拼多多买的 2349"
316144,60,"请看,我的电子宠物"
312310,1632,xs 全网除了钟文泽没有一个觉得好用
316349,85,"Sir, this way"
312310,1625,"跑步不带手机，戴表+AirPods 就行（交我办校园跑不行，不过我都是骑车的）,地铁刷 NFC（不过戴左手刷右边的炸鸡有点拧巴）,早上闹钟可以震动手腕，不会吵室友和自己,睡眠质量检测（Autosleep）,骑车导航不用掏手机,找手机,怎么感觉小米手环也能做到"
312310,1624,喜报：iPhone 镜像跳 bug 了
316144,30,（3/114514）
312310,1603,"亏爆了，s7 京东二手 <1000,这么多年了哪来的全新未激活，听卖家胡扯"
312310,1599,每日吐槽 Finder，全世界最喜欢到处拉屎的文件管理器
312310,1587,我11月2号买的，应该差不多史低了，可以蹲一蹲看
312310,1585,"差不多了,去年的价格16+256"
316162,11,给射的最多的前五名加五分
312310,1543,"notability 21年以前还是一次性购买，某次促销18抄底,后来 notability 改订阅的时候又半价抄底 goodnotes 5,现在这俩都是订阅制了，靠以前的购买接着用"
312310,1535,"我班里 iPad 压倒性优势，大约比例 iPad 3-4：华子 1： 其他 0.5，理科是这样的，你也不想敲 LaTeX 敲到手指冒烟吧,在用 iPad 的人中，Goodnotes 和 Notability 大概在 1:2,笔记本游戏本3：轻薄本1，Mac更不用说，我印象里用的不超过五个人"
315959,37,"我数院不服（School of Mathematical Sciences，,SM Sciences,）"
312310,1497,"back to Tim,Pan"
312310,1490,"境外就直接 Telegram / WhatsApp 了吧,除非做成独立 APP，然后全平台上架，不然感觉还是不好用,我的 im 好友只有我的国区账号"
312310,1484,"我周围：iPhone >> vivo+iQOO > 华子 > 小米 > 其他，不过考虑到我对安卓中低端的辨识能力只能说…至少 iPhone 最多是肯定的,不过一个小团体里只要有一个安卓就还得用微信"
312310,1475,"iPad mini 阉割 Pencil、妙控键盘（本来也没有），上 A18 Pro & 高刷 & 均热板，缩窄边框，直接专精游戏,iPad Air 阉割掉 M2，改用 A18 Pro，加入 Face ID，降价取代 iPad 数字款，定位笔记、日常文档,iPad Pro 把新出的溢价功能都砍掉，价格回到 5k 区间，不和 Mac 竞争，守住绘画和音游的护城河 & 轻度影视流程（没人会在 iPad 上剪好几条 4k 吧，感觉有个剪映就够了）,至于原本的数字款直接砍了"
312310,1462,"随着年级增长带 iPad 出门的频率逐渐下降，带电脑出门的频率逐渐上升,现在 iPad 已经变成 Mac 副屏了"
312310,1454,"iPad 数字：智能泡面盖,iPad mini：电竞板,iPad Air：iPad 基本线，真正的标准款 iPad,iPad Pro：超大杯专业版 iPad"
315946,14,神奇吧，签名档
315946,5,问他是不是填了你手机号
312310,1426,"差一步就买 iPad Pro 2020 了,大一教育优惠买了 iPad Air 4，结果半年就被 M1 爆金币了，刚高考完哪懂这些啊，现在的我回去肯定买二手 iPad Pro 2020"
315780,31,盲猜挂错档了
315780,28,这不得严查一下
312310,1395,给 iPad 11 加入 A17 & AI，然后花半小时复读 WWDC，毕竟他们在九月就是这么干的
312310,1382,"驱动这块 5K 面板、计算空间音频、人物居中、“嘿 Siri”,没想到吧，这块显示器搭载 A13 + 3G RAM + 64G ROM"
312310,1380,A13
312310,1375,"没有,在猜 A17 会在哪里打赢复活赛,iPad 11,Apple TV,Studio Display"
312310,1373,一刻也没有为 iPad mini 哀悼，立刻赶到战场的是：Apple TV！
312310,1360,省流：挤牙膏，除了 SOC 一点没变，存储升级到 128G 起售，清 A17 Pro 库存
315780,19,出厂即返厂
312310,1357,"我还真…额外买的充电头,宿舍桌面用显示器反向供电充 Mac,还有一个拯救者 C140（没错，我用一个 140W 的充电器充 27W 的手机）,床上用 Mac 送的双口 35W，一个接台灯，一个接手机,平时出门带一个 65W 的绿联 PD 充电器,主要是送的功率实在太低了，拿去插小电器了"
315781,2,"C140！,「拯救者C140W 2024」"
315780,1,雷总发力了
312310,1345,"《快充套装》,反正横竖都是 27W 快充个毛，包选 AC 的"
266509,996,"不应该是越看越精神吗,在发现我散光起飞之后接着挂了窗帘之后在里面挂了一个磁吸灯玩手机"
147069,3239,"在美国用华为,在中国用 iPhone"
315687,11,"居然还是实名哥草,这下不得不评了，怎么你院什么交大刷怪笼"
315687,6,等cd等到最后半分钟被锁帖了
315654,121,"我要开始贴某三个表情了,cd什么时候变成五分钟了"
147069,3201,华为配太子，这辈子有了
315543,27,"有，但坏了,用快捷指令之前一直在用桌面快捷方式，以及快捷指令也可以添加到桌面"
315543,10,15 pro 以上也可以用快捷指令+操作按钮快速打开思源码，参考
197546,1378,今年换m14了好像
155786,7672,"下半掏出克拉拉居然异常好打，花鸟双拉一炮十几万,就是第一波俩怪太墨迹了，那个抖m姐还会开倒计时不打人"
312310,1289,"刚发现，带小键盘的妙控键盘上就有这个键，直接图标表示了,我直接改了截图键键位，⌃⇧⌘3 这种按键是人的手指能按出来的吗"
312310,1286,之前是只有左右全高，上下挤在一起，类似妙控键盘，非常离谱
312310,1283,"其实 ⌘ 组合快捷键才是正统，Macintosh 一开始就是用 ⌘ 组合键完成复制/粘贴/全选/剪切。只不过后来微软做 PC 的时候没有 ⌘ 键所以最后绑到 ctrl 上了,并且苹果的快捷键其实很合理，⌃ 键用于命令行，⌘ 键用于 GUI，二者不会互相打架，例如 ⌘C 是复制，⌃C 是中断进程"
312310,1265,苹果的每日怪东西，习惯上向左删除是 Backspace ⌫，向右删除是 Delete ⌦
312310,1263,"显示区域变大 + 全高 Fn 键 + 新的四四方方的外观,很神奇吧，相比原来圆润的楔形模具我更喜欢现在的,淳平,纯平设计,刘海虽然丑，但反正顶部也得放菜单栏，不影响用,以及库克什么时候能上全高方向键，真的很重要,，四个半高甚至还没有 Page Up/Down,理想键盘：全高方向键、截图键、delete 键,突然发现这个布局和我现在用的 Keychron K3 差不多"
312310,1260,引用+1
315294,9,"话题编号：315294,账号：,处理意见：,删除内容,对以上处理有异议的，请按,提出复议申请。"
315240,13,"一米九几,瘦一点,31号晚有空｜打算和朋友去玩的,等等，这时薪,你的最爱"
262733,3372,你自己贡献了快一半的引用量
155786,7660,没有飞霄是这样的
315150,8,是雷军在远程操控你的手机，小心他马上要开 su7 来撞你
312310,1240,"为什么是 35 呢，因为最近在攒钱买 Z40f2,确实手机塞不下，1x 普遍在 24-28 还真有道理"
312310,1235,"这个纯粹个人喜好，我35以下几乎从来不用,，现在默认 1.5x,纯yy，反正库克也不会真的造"
312310,1211,"小米配件厂和他最好的手机子品牌,随手编的价格，谁让库克卖那么贵"
312310,1207,"所以是脑洞大开版,，直接把标准款电子垃圾砍掉,这个价格只能去提瓦特买吧"
312310,1203,"重生之我在水源造手机（提瓦特限定款）,iPhone 17 Plus,SOC:  A19,CPU: 2 P-core@4.1Ghz + 6 E-core@2.5Ghz, L2: 16+6MB, SLC: 24MB,GPU: 10 Core: Apple GPU 10@1.5GHz,基带：集成新一代 Apple 自研基带,RAM: Sk-Hynix LPDDR6 10667MHz 12GB,工艺：TSMC 2nm,屏幕：6.9 英寸 Tandem OLED 三星定制面板 540ppi,影像：,主摄：48MP, 1 inch, 35mm,长焦：48MP, 1/2 inch, 105mm,超广角：48MP, 1/1.3 inch, 13mm,散热：改进单层主板 + 大面积 VC 均热板,电池：5800mAh + 65W PD充电 + 25W MagSafe 无线充电,其他部分正常迭代,ROM & 售价：,256GB 6099,512GB 6499,1TB 6899,iPhone 17 在上面基础上阉割：,RAM: 8GB,屏幕 6.1 inch,阉割长焦，主摄裁切到 5x 175mm,电池： 5000mAh，阉割无线充电,ROM & 售价：,256GB 5599,512GB 5999,1TB 6299,有些地方可能不太合理懒得上网搜了,不知道散热和重量不爆炸的情况下能不能造出来捏"
312310,1187,"你的下一台暖气，何必是暖气（指,8elite,888,等发布再回来看要不要改"
312310,1180,什么便携式 MacBook，这功耗真得外星科技才能压住吧，感觉手机空间也塞不下
312268,26,cy
312310,1128,"我更期待加到 10 Core GPU，发哥太 nb 了,怀疑再加大核还能放得下吗"
312310,1120,"iOS 18 的新 bug，等若干小版本之后会修复的,beta 版已经领教过一次了"
312310,1111,"那 M1 M2 M3 都没区别，反正 MacBook Air 的目标用户大概率也用不上,所以要么就一丐到底，要么预算内拉满，省的到以后想当时怎么不加钱升升配置"
312310,1099,M2 丐版只有半速 SSD，要么 M1 要么 M3，或者加钱买金子颗粒
312310,1087,想要长续航可以看看lnl笔记本，不过价格也不太好看就是了，牢英底裤都亏没了，赢在没有兼容性问题
312310,1071,"都标准款了还买 Pro 干嘛，该有性能瓶颈加了风扇还是有,要么一步到位，要么就 Macbook air,有性能焦虑升级 PC 是比较合理的选择，兼顾的尽头就是两头都不占"
312310,1067,Intel 酷睿 Ultra、AMD 移动端 CPU、高通骁龙：你好
312310,1057,"去年玩过大半年的 Mac mini，后面刚需 N 卡就出了换 PC 了,感觉最好用的场景是以后自己住的时候丢家里当网站服务器+NAS+串流机顶盒,还有 iOS 开发的最低准入门槛"
312310,1047,"感觉 iMac 也没人买，Studio 说不定还有富哥会买,印象里只在酒店前台见过"
313906,127,"这个一眼不满秩,，第四行=第一行+第二行,感觉不如二行三列行列式"
314446,11,rdp 宿舍网直连端口/桥接可以直接 ipv6 访问，不用配置转发
312357,27,"结果没网,我再调调看，配环境的时候好多报错感觉ChatGPT修的不准"
312357,25,"lz牛！,下午 git 下来对着 ChatGPT 编译了半天，不知道这样成功了没,总结,and 我还先去搞定账号注册"
314264,3,C140 是额外的 PD 充电器，原装是那个大板砖（
312310,1021,"因为原生有最大化的好处：iCloud 同步+系统融合度高+果味 UI,以及还有一半干活环境在 PC 上,没好友，而且没有我珍藏的表情包聊天没味"
314263,17,"都怪我,，再也不考古了www"
314263,3,"哥们你已经超越 50% 的人了，慌啥,做好自己就行了，学得好,活得好，建议多读生存手册"
312310,1016,"水一帖我的 Mac 使用方式，本来想和 Ubuntu 一起发 Linux 楼的，干脆发这了,Mac 下的工作、科研、学习与生活,系统信息,来点 fastfetch,文件管理：Finder、Spotlight,同步与备份：iCloud、SMB、Time Machine,浏览器：Safari,终端：iTerm 2 (zsh + ohmyzsh),生产环境,科学上网：Shadowrocket,PDF：Skim（阅读）、Acrobat Pro（编辑）,文字处理：Apple Notes、Typora、TeX (MacTeX + TeXStudio),办公软件：Word、Keynote、,Excel,Pandas,Coding：VS Code（SSH 客户端）、Mathematica（计算器）、Xcode,笔记：Xmind、Goodnotes 5,邮件日历：Apple Mail & Calendar,修图后期：Adobe Lightroom Classic、Photoshop,视频：Infuse（播放）、DaVinci Resolve（剪片）,AI：ChatGPT Desktop,生活/娱乐/,游戏,照片：预览、iCloud 相册,音乐：Apple Music,通讯：QQ、微信、腾讯会议、Telegram,系统插件：Bartender 5（菜单栏折叠）、Mos（鼠标 & 触控板方向）、Mediainfo（音视频格式查看）,浏览器插件：Userscripts（,、,、,）、Dark Night、Adblock Plus"
155786,7644,这个造型是什么仙舟制服吗，感觉在仙舟女角色里出现频率好高
312310,1011,50MB 存储限制鬼才会用，国外还有点应用场景，指望国内这些企业做一个没有开屏摇一摇、借贷、短视频、浇水的 APP 还不如杀了他们，更何况还有微信小程序这个地头蛇
312310,1005,"备忘录什么时候支持 markdown 语法,想要备忘录多设备同步、原生支持的特性，但习惯 md 之后用备忘录修改格式太难受了"
312310,1001,"感觉比起直接投屏，我更希望是可以直接在电脑上使用手机 APP，类似苹果 Apple Silicon 大一统之后在推把 iOS/iPadOS 应用移植到 Mac 上，我理想中的手机电脑协同应该是直接访问手机 APP 与应用数据，调用手机 SOC，但操作逻辑适配电脑（键鼠/触控板）,应用场景其实也很有限，去掉有电脑 APP/Web 端的应用之外，我也就只会用投屏点外卖"
312310,996,"iPhone mirroring 用了有一小段时间了，稍微点评一下,分辨率,默认大小下，分辨率大概是 iPhone 屏幕的一半（15 Pro Max 屏幕 1290x2796，镜像分辨率截图如下），当调整 Mac 缩放比例时，和其他元素一样，窗口大小会同时缩放而保持分辨率不变,btw 我 Mac 两倍缩放实际大小和手机一样也可以看出这一点,帧率,我只有 MacBook Air 所以只能说至少 60Hz，实际也和限制刷新率的 iPhone 屏幕表现差不多,连接方式与数据交换,必须打开 iPhone & Mac 的蓝牙和 Wi-Fi！哪怕用数据线连起来也是无线连接,猜测是因为要用现成的 iCloud 共享和 AirDrop 来传输数据，苹果自己也承认了这件事,Copy items between devices,Use,to copy content between your devices.,Use,or,to send files between your devices.,Use,to store files for access by each of your devices.,操作逻辑,只能说是一坨,鼠标/触控板就是模拟了手指，在 Mac 上最常用的双指右键、三指拖移在这上面都没有，完全是 iPhone 的操作逻辑,键盘不支持快捷键！我期待的是哪怕做成 iPad 键鼠逻辑也行，但它这个逻辑就…，而且也没法划出控制中心和通知,安全性与解锁,不涉及钱的地方都替换成了 Mac 的指纹解锁（隐私相册、APP 锁等），但涉及钱的只能输密码（微信支付、App Store 购买等）,感觉苹果是把 iPhone 镜像做成了一个远程桌面，有一种非常强烈的 “我在玩手机” 的感觉，而不是我期待的完全融入 Mac 的逻辑中，至少在这个 APP 里苹果对触屏和键鼠操作逻辑的差异并没有做好，也可以预见假如 iPad 真的用上 macOS 会是多么抽象的一件事"
314115,18,因为水源在接受伟大指导
314066,181,"第5.,人格启动！"
314150,6,大一上期末周去东中 3 号楼自习，坐了五分钟就热得受不了了，一看 34℃
197546,1238,我爸还用过这款
197546,1232,印象里华为除了两大旗舰都是增智慧机型，什么年度手机、畅想麦芒智选鼎桥，好像 nova 现在也没什么性价比了？
312310,970,"我有一大堆耳塞,每次修耳机就给副新的，结果攒了一堆,rt"
312310,950,真别 Touch ID 吧，iPad Air 识别率巨差
313906,27,3.75/15
312310,939,"厕评一下 15 Pro Max + 上海联通卡的信号,东中/下院 3G，约等于没网,包图关 WiFi，开 5G 有信号，可以刷视频,主图、新学服、理科群楼、东上院、西区教学楼等非金属门完全正常，个别三面都是墙的位置除外"
313906,21,"已经有实现了,用于小猿口算的基于Python的自动答题工具"
313896,6,"还好我都是点外卖的,要么就提前吃饭"
312310,923,所以 MacBook Air 算什么，分摊模型成本的工具吗？这辈子是不可能在非 Pro 设备上看到 Face ID 了
197546,1170,感觉 3-4 年新特性就忍不住想换了，要说用到死 5 年应该没问题，除非摔爆了
197546,1149,量产机来了
197546,1148,"更新了跑分,CPU GB6 单核 3010 赶上 A17 Pro,多核 9317 和 A18 Pro 打平（不过 A18 Pro 好像刷到 9600 了，大体落后一小点吧）,GPU 3dmark WLE 超过 M2"
313764,7,"啊？Win 也带出宿舍吗,，SJTU 无线网不能远程的,直接在 VMware 里给 Linux 桥接一个 IP，然后通过这个 IP SSH，不用扯上 win，以前用过一段时间，后来嫌麻烦改双系统了"
313764,2,直接桥接？
313750,11,"还好我都用骑的,跑步就把钥匙和手机放车筐里，只带表和耳机跑"
312310,904,"希腊字母可以额外安装希腊语输入法，就是会影响切换中英文，所以我更喜欢直接敲 LaTeX,指打英文，例如 alpha、lambda 这些，大抵是我敲得多习惯了,组合键我只能记住 Option+Shift+K 是 ，按 Fn 键也能舒服特殊字符，就是得找一下"
197546,1146,"A19 再不堆 GPU 规模真要遥遥落后了，CPU 还能用 6 核打 8 核说事，GPU 是真没得借口,GPU 这种纯靠规模的不知道苹果在扣什么,不过话说回来 A18 CPU 确实是牙膏挤爆了，就这还能不落下风"
312310,892,"培养柔性屏供应链技术,折叠屏真没毛用吧，除了“商务”人士"
312310,841,"19999 起,好奇真出了灵动岛放哪，真搞个不对称的出来可以去挖乔布斯棺材板了"
313640,22,组团排队（1/114514）
197546,1093,"7+gen3超频版,高通的命名艺术,想起这个【“去年你多花两亿 今年你又不多花了”-哔哩哔哩】"
85079,9440,"Man! What can I say?,剧透"
312310,810,"也许更新一下（？）,就在控制中心"
313439,2,记得一楼东南角有
197546,1075,"Xelite 和 WOA 已经可以拉去埋了，直接被 M1 和 Lunar Lake 完爆，去年发布的时候喊得倒挺响，还想拉爆 M3，结果是集众家之短,现在很好奇 8elite 到底什么表现，感觉要一念神魔，不是拉爆就是被拉爆,btw高通命名好乱"
313411,3,一突开啊
313273,8,"怀了,和"
313402,10,"这个价位 iPad 压根没得选，只能勉强买到 iPad Air 4，还算可以接受,或者稍加到 3.5k 左右可以捡 iPad Pro A12Z，砍砍价争取带根 Apple Pencil 2,这俩都是 2020 年的板子了，只能说肯定够用，就是没那么新,iPad 那几个老牌笔记软件（Goodnotes, Notability, Margin Note 3）平板笔记的 T0 级别，就是得舍得氪金，尤其现在前俩改订阅制了"
313096,76,"八月去外滩凑热闹,楼里好多z30"
313373,6,国一 算王
155786,7597,"普攻：太初有为！,战技：太初有为！,大招：太初有为！,秘技：太初有为！,第一天，太初有为！,第二天，太初有为！,第三天，太初有为！,第四天，太初有为！,第五天，太初有为！,第六天，太初有为！,第七天，太初有为！,调休伤害立减 100%"
313301,19,"应该是（？）,可以顺路去看看，就是不一定有货，挺难抢的,当时运气好问到有货接着去买了"
313301,15,"哥们都在上海了，直接去淮海中路买呗,今年2月买的双套7599"
312310,771,yep，用了 URL 跳转
313223,8,"无情铁腿,一直抬着不累吗,哦原来前面能踩着，那没事了"
312310,769,小火箭更新了一键发射功能
313064,72,公共场合还不许吸烟呢，这方面顶多半斤八两
312310,751,感觉没毛病，M1 时代刚起步不算，从 M2 开始逐渐稳定年更（iPad 不算，根本不能算正经 M4）
312310,749,盲猜 WWDC 25，符合 Ultra 惯例，以及这个爆料看起来像春季发布会
312310,725,"听了半天发现是俄语,我更关心 16G 起步的话价格是降一档还是跟 iPhone 一样骚操作，单纯把 8G 扣掉"
312310,720,"MacBook Air M2 15‘ 16+256 去年双十一买到了9.3k，512G 印象应该在 1w 上下,一直眼馋 MacBook Pro 的 mini-LED 屏幕，不过因为价格和重量放弃了，本来买 Mac 就是看中轻薄和续航，干活当 ssh 客户端用，也不需要 Pro 芯片；但不得不说苹果在影视领域的绝对地位，M2 核显 Lr AI 降噪和达芬奇导出明显比我的 4060 快,至于存储，主要是我有一堆硬盘，而且 23 年固态都白菜价了，实在不想氪苹果黄金，不行等过保去咸鱼加内存了,Air 换块高亮高对比度屏幕就是我的理想区间"
313064,9,"味大，无需多盐,长期抽烟是会把环境熏入味的，每次开我爸车出门都有明显的烟味,还有烟灰，总会撒一些在家具上"
312310,702,"你怎么知道我有这条，不过脏了没戴就不拍了,btw 如果是官方那条单圈编织其实不是很推荐，戴一段时间就松了，而且是不可逆形变,回环挺好的，不过那个彩虹款不太喜欢,（Pride 属性太强了，单纯只是喜欢彩虹的颜色）,，最后在第三方淘了一款杂交表带"
312310,693,"懂了,我只买编织还真没发现,确实我也发现了，但我觉得这个质量对得起它的价格"
312310,689,"都图便宜了为啥不直接拼多多,表带又没什么技术含量"
312310,684,"藤椒老师这么富,，这几天光看你换手机去了,介意多一个老婆吗,经过大三一年的挥霍成功把自己榨干了"
197546,1013,猪王收购版
262733,3305,输输输 口嗨最亏的一次
300609,6722,这枚炸弹肯定不会埋在苏州
197546,1010,"这不 mate40 吗,预备～唱！"
197546,1003,"荣耀X70i,参考,总结,那一夜 iPhone 16 和 Pura 70 都喝醉了"
312310,659,"3x 等效 85mm 的焦段确实好出片，所以广受欢迎,5x 120mm 就是纯长焦了"
312310,657,这就去开盒
312310,654,"还真是,但举着平板拍照是和用 Mac 打游戏一样的骚操作，苹果终于发现这一点之后，在新 iPad Pro 上砍掉了一颗超广角,平板后摄能扫描文档清晰就足够了"
312310,640,"感觉大长焦挺鸡肋的诶，尤其苹果这传感器，拉到头画质直接崩了,半画幅拉来都能吊打，底的客观差距还没发很好地克服,总结"
312310,608,就这点还是超频超出来的，IPC A17 Pro 比 A16 才进步 3%
312310,588,"草，看漏了,本来盲猜是翻译问题的，现在多一个日子不知道啥情况了"
312310,581,"会误触吗，操作按钮要长按诶,我倒是经常卡这个界面,不知道是他直接跳转不刷新还是我信号不好"
312310,578,"这是面向开发者的，个人没必要看，毕竟要氪 99 刀的 Apple Developer Program 外加不知道多少的 NFC 授权,Update: 对你交来说 99 刀肯定不是问题，属于本来就氪了的部分，就看苹果什么时候推广到大陆以及交大愿不愿意氪金了。以你交对思码的偏执程度我觉得真难说"
312310,570,"总结,August 14, 2024,Developers can soon offer in‑app NFC transactions using the Secure Element,Starting with iOS 18.1, developers will be able to offer NFC contactless transactions using the Secure Element from within their own apps on iPhone, separate from Apple Pay and Apple Wallet. Using the new NFC and SE (Secure Element) APIs, developers will be able to offer in-app contactless transactions for in-store payments, car keys, closed-loop transit, corporate badges, student IDs, home keys, hotel keys, merchant loyalty and rewards cards, and event tickets, with government IDs to be supported in the future.,As users’ security and privacy is of the utmost importance to Apple, this new solution was designed to provide developers with a secure way to offer NFC contactless transactions from within their iOS apps. The,leverage the Secure Element — an industry-standard, certified chip designed to store sensitive information securely on device. Apple has dedicated significant resources to design a solution that protects users’ security and privacy, leveraging a number of Apple’s proprietary hardware and software technologies when making a contactless transaction, including the Secure Enclave, biometric authentication, and Apple servers. To make a contactless transaction within an app that utilizes these APIs, users can either open the app directly, or set the app as their default contactless app in iOS Settings, and double-click the side button on iPhone to initiate a transaction.,To incorporate this new solution in their iPhone apps, developers will need to enter into,a commercial agreement with Apple,, request the NFC and SE entitlement, and pay the associated fees. This ensures that only authorized developers who meet certain industry and regulatory requirements, and commit to Apple’s ongoing security and privacy standards, can access the relevant APIs. The NFC and SE APIs will be available to developers in,Australia, Brazil, Canada, Japan, New Zealand, the U.K., and the U.S.,in an upcoming developer seed for iOS 18.1, with additional locations to follow. Developers and users will continue to have access to the easy, secure, and private experience of Apple Pay and Wallet.,8月的新闻了，不过现在应该还没推送,首先需要氪金，其次只支持英语区"
312310,561,"交还在推那个沙呗思码呢,我用 Action Button 启动思源码，勉强算是曲线救国吧,，iOS 18.1 的 NFC 快点端上来,不过以苹果和你交的双重尿性估计还是遥遥无期，也不好用"
312863,25,"随机刷新点：C200、B300、A300、包图三楼六楼联楼、东下院大教室,去哪取决于哪人少（包图预约区日常满员,）,最喜欢去东中院三号楼，结果疫情之后不再当自习室开放了"
312310,540,"M1 4P4E,M1 Pro 8P2E,M1 Max 8P2E,M2 4P4E,M2 Pro 8P4E,M2 Max 8P4E,M3 4P4E,M3 Pro 6P6E （有一个阉割版 5P6E）,M3 Max 12P4E,苹果怎么老是搞这种逆天数字，什么 11 核 CPU 19 核 GPU，库克真供应链大师"
312310,531,"什么老黄笑话,等 17 系列出了，16 肯定会降价，中间忘了，终于能捡室友换掉的 6s 了"
312310,525,"mini6 当时就上 A15 了，这次不至于还用老芯片吧,盲猜 A17 最后会阉割成特挑大雷放在 Apple TV 或者 Studio Display / Pro Display XDR 上"
312310,513,"带 Pro 也有同感，主要是通透模式真感觉不出来,所以现在开自适应模式,自适应散热信号内存充电…"
312310,505,所以说是期待，只能靠外星科技了
312310,497,"之前看云飞直播提到的一个问题我觉得还挺好的,苹果要做出什么才能让人觉得，苹果还是曾经那个苹果，还是那个不断创新、屡次改变世界的苹果,我觉得至少 Vision Pro 不算，感觉和华为三折一样是眼前一亮但对消费者没毛用的产品,不过当下我会期待一款不反人类的 Vision Pro Refresh，指不沉、不挂尿袋、戴上不像个傻x、交互感更强的眼睛手机"
